sss_year,state,filing_status,variable_name,type,calculation_method,income_min,income_max,num_children,youngest_child,value
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,70730,73945,3,presch,0.33
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,73945,77160,3,presch,0.28
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,77160,80375,3,presch,0.18
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,80375,83590,3,presch,0.08
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,83590,90020,3,presch,0.06
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,90020,96450,3,presch,0.04
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,96450,Inf,3,presch,0
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,0,3215,3,school,0.05
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,3215,6430,3,school,0.15
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,6430,9645,3,school,0.25
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,9645,12860,3,school,0.35
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,12860,16075,3,school,0.45
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,16075,19290,3,school,0.5
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,19290,22505,3,school,0.55
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,22505,25720,3,school,0.6
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,25720,28935,3,school,0.65
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,28935,35365,3,school,0.7
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,35365,38580,3,school,0.66
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,38580,41795,3,school,0.61
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,41795,45010,3,school,0.56
